105,Van,Fiat,Runround,6.0,151D987105,6.0,2020,12,15,100034,53.3456,-6.3421,140.0
106,Van,Ford,Transit,4.0,172LH234106,6.0,2021,3,30,106000,53.7654,-6.6235,160.0
107,Truck,Nisan,Urvan,4.0,181MN6538107,10.0,2021,5,24,126000,53.2543,-6.4444,240.0
108,Car,Volkswagen,Polo,4.0,181DL6138107,2.0,2021,5,24,16000,53.2543,-6.4444,5
109,4x4,Nisan,Urvan,4.0,191D65337107,4.0,2021,5,24,3000,53.2543,-6.4444,7
110,Car,Toyota,Yaris,3.0,172LH71623,2.0,2021,3,12,5000,51.23421,-6.21341,5
111,4x4,LandRover,Discovery,6.0,142D912834,4.0,2021,11,12,10500,52.3413,-6.21313,7
112,Truck,Hino,700Series,4.0,154G162381,10.0,2021,2,14,15000,50.01323,-6.231312,300.0
113,Van,Hyundai,Entourage,5.0,128DL182391,6.0,2021,4,12,8000,51.27371,-6.17237,100.0
114,Van,Hyundai,Grace,4.0,143D928374,6.0,2021,3,3,9000,51.383281,-6.37127,150.0
115,Van,Isuzu,Oasis,6.0,152DL9128323,6.0,2021,4,5,1200,52.471273,-6.61263,200.0
116,Van,Isuzu,Como,7.0,194D19283123,6.0,2021,6,12,10000,51.38272,-6.172731,250.0
117,Van,Jeep,Fleetvan,5.0,193G1237131,6.0,2021,4,4,12000,51.37271,-6.123771,150.0
118,Van,Kia,Bongo,6.0,149MN8283712,6.0,2021,5,28,24000,52.38372,-6.277313,170.0
119,Van,Kia,Carnival,4.0,172DL827372,6.0,2021,8,12,12500,52.317321,-6.172371,120.0
120,Van,Mitsubishi,Expo,4.5,128C81273713,6.0,2021,4,5,8000,50.1293182,-6.281381,150.0
121,Truck,Chevrolet,NHR,3.0,142DL821131,10.0,2021,6,12,3900,52.10293,-6.923812,250.0
122,Truck,Dongfeng,Palawan,4.0,139G7127312,10.0,2021,9,10,12000,51.3818312,-6.737131,300.0
123,Truck,Hino,500Series,5.5,120LH7127313,10.0,2021,5,8,11000,52.37173,-6.123123,320.0
124,Truck,Hyundai,Mighty,4.0,112G8283813,10.0,2021,7,12,9000,51.273721,-6.318213,250.0
125,Truck,Hyundai,Xcient,5.0,192CN1283821,10.0,2021,3,12,12000,52.481832,-6.2838123,300.0
126,Truck,Isuzu,Elf,3.5,189MN8283832,10.0,2021,4,5,11400,51.137271,-6.83821,270.0
127,Truck,Isuzu,Forward,4.0,162LH812831,10.0,2021,5,2,12000,52.481823,-6.381821,300.0
128,Truck,Mercedes-Benz,Sprinter,4.0,128C894723,10.0,2021,1,2,15000,51.21838123,-6.81382,310.0
129,4x4,Mercedes-Benz,G-Class,5.0,182LH8388412,4.0,2021,4,12,12000,52.8421737,-6.283812,5
130,4x4,Suzuki,Jimny,6.0,140LH8384743,4.0,2021,6,7,11000,51.238182,-6.1317233,4
131,4x4,Subaru,XV,5.5,172DL9129391,4.0,2021,5,4,10000,52.12381238,-6.18238123,5
132,4x4,Toyota,Land-Cruiser,5.0,182D8273674,4.0,2021,6,12,8000,51.23818,-6.213831,5
133,4x4,Dacia,Duster,4.5,149D81823813,4.0,2021,4,12,7000,52.3812831,-6.7313731,4
134,4x4,Jeep,Renegade,3.0,182LH8238128,4.0,2021,8,23,6500,52.3128831,-6.1823812,5
135,4x4,Jeep,Wrangler,4.0,123CN2838731,4.0,2021,6,22,6000,51.238182,-6.823813,4
136,4x4,Ford,Ranger-Raptor,4.5,182MN8949882,4.0,2021,8,27,5500,53.1273,-6.13812,5
137,Car,Honda,Accord,4.0,127LH83847138,2.0,2021,8,5,10000,52.18238,-6.213774,5
138,Car,Hyundai,Accent,6.0,123D7464892,2.0,2021,9,3,7500,53.581823,-6.12737,7
139,Car,Nissan,Ariya,5.0,194DL283746123,2.0,2021,6,2,8000,52.384831,-6.283812,5
140,Car,Subaru,Ascent,4.0,192D92938312,2.0,2021,5,6,9000,51.838213,-6.37321,7
141,Car,Nissan,Murano,5.0,123D9847623,2.0,2021,10,22,6400,53.48814,-6.28381,5
142,Car,Ford,Fiesta,5.5,182LH3884813,2.0,2021,12,4,12000,52.374731,-6.23813,5
143,Car,Kia,Niro,4.5,149CN89384813,2.0,2021,11,2,10500,52.371273,-6.38812,7
144,Car,Lexus,NX,4.0,129MN9392182,2.0,2021,10,2,11000,53.128381,-6.83183,7
145,Car,Honda,Odyssey,5.0,182G8283737,2.0,2021,4,8,6500,52.283813,-6.273127,5
146,Car,Honda,Passport,4.7,148LH838182,2.0,2021,7,16,10500,53.173243,-6.23713,5
147,Car,Honda,Civic,5.6,182D83873213,2.0,2021,4,6,12000,53.1273712,-6.372713,5
148,Car,Toyota,Corolla,5.3,112LH8474732,2.0,2021,8,9,6000,52.37471,-6.12733,5
149,Car,Hyundai,SantaFe,4.0,109DL84874624,2.0,2021,4,1,5000,51.31883,-6.83183,7
150,Car,Honda,CRV,4.0,149DL912938132,2.0,2021,5,7,10000,52.378123,-6.12373,5
151,Car,Honda,HRV,4.3,198DL8218383,2.0,2021,5,6,12000,53.48184,-6.1273712,5
152,Car,Kia,Optima,5.2,172D9387476,2.0,2021,8,23,11000,52.37732,-6.26316,7
153,Car,Nissan,Kicks,5.0,127G849398,2.0,2021,4,6,10000,53.1283813,-6.373127,5
154,Car,Toyota,Camry,4.5,189C8746362,2.0,2021,5,7,8000,52.38183,-6.3271372,5
155,Car,Toyota,Avanza,5.0,182MN4826162,2.0,2021,10,9,9000,51.83128,-6.2381831,7
